file,company,made_up_to,turnover,cost_of_sales,gross_profit,gross_margin
Prod223_4272_02600077_20251031.html,02600077,20251031,56894.0,21470.0,35424.0,0.6226
Prod223_4272_03364551_20250930.html,03364551,20250930,165407.0,161344.0,4063.0,0.0246
Prod223_4272_03493193_20260630.html,03493193,20260630,0.0,0.0,0.0,
Prod223_4272_03663780_20260331.html,03663780,20260331,152340.0,182686.0,-30346.0,-0.1992
Prod223_4272_03867142_20251031.html,03867142,20251031,224430.0,40186.0,184244.0,0.8209
Prod223_4272_05337831_20251031.html,05337831,20251031,1170911.0,790292.0,380619.0,0.3251
Prod223_4272_05625866_20260331.html,05625866,20260331,2079.0,0.0,2079.0,1.0000
Prod223_4272_07415481_20251031.html,07415481,20251031,8400.0,5792.0,2608.0,0.3105
Prod223_4272_07434309_20251130.html,07434309,20251130,22348.0,0.0,22348.0,1.0000
Prod223_4272_08235828_20251031.html,08235828,20251031,18493970.0,15493904.0,3000066.0,0.1622
Prod223_4272_08249638_20260331.html,08249638,20260331,663340.0,534533.0,128807.0,0.1942
Prod223_4272_08836953_20241231.html,08836953,20241231,9846112.0,6740249.0,3105863.0,0.3154
Prod223_4272_09288856_20251031.html,09288856,20251031,73472.0,44402.0,29070.0,0.3957
Prod223_4272_09688044_20250731.html,09688044,20250731,0.0,0.0,0.0,
Prod223_4272_09834002_20251031.html,09834002,20251031,107373.0,98579.0,8794.0,0.0819
Prod223_4272_09894000_20251130.html,09894000,20251130,4370.0,2520.0,1850.0,0.4233
Prod223_4272_10589470_20260131.html,10589470,20260131,0.0,0.0,0.0,
Prod223_4272_10695157_20260331.html,10695157,20260331,326961.0,278924.0,48037.0,0.1469
Prod223_4272_11001844_20251031.html,11001844,20251031,70452.0,49873.0,20579.0,0.2921
Prod223_4272_11013807_20251031.html,11013807,20251031,4154.0,1835.0,2319.0,0.5583
Prod223_4272_11070502_20260331.html,11070502,20260331,495941.0,36241.0,459700.0,0.9269
Prod223_4272_11077802_20251031.html,11077802,20251031,230461.0,103509.0,126952.0,0.5509
Prod223_4272_11423010_20260630.html,11423010,20260630,127053.0,60942.0,66111.0,0.5203
Prod223_4272_11584851_20250930.html,11584851,20250930,0.0,0.0,0.0,
Prod223_4272_11600434_20251031.html,11600434,20251031,103270.0,8247.0,95023.0,0.9201
Prod223_4272_11624361_20251031.html,11624361,20251031,0.0,106.0,-106.0,
Prod223_4272_11632222_20251031.html,11632222,20251031,461442.0,207028.0,254414.0,0.5513
Prod223_4272_11716517_20251231.html,11716517,20251231,50073.0,1470.0,48603.0,0.9706
